,date,trip_count,avgTemp
199,2022-07-19,1203,27.0
200,2022-07-20,1170,27.7
201,2022-07-21,1124,26.9
202,2022-07-22,1142,27.1
203,2022-07-23,1107,25.7
204,2022-07-24,1038,26.6
205,2022-07-25,1015,22.8
206,2022-07-26,1210,22.2
207,2022-07-27,1312,23.9
208,2022-07-28,1192,23.8
209,2022-07-29,1161,22.1
210,2022-07-30,1200,23.1
211,2022-07-31,1159,24.4
212,2022-08-01,984,25.8
213,2022-08-02,1182,25.7
214,2022-08-03,1327,27.399999999999995
215,2022-08-04,1258,25.4
216,2022-08-05,1188,24.8
217,2022-08-06,1305,28.2
218,2022-08-07,1013,26.6
219,2022-08-08,1111,24.3
220,2022-08-09,1116,20.4
221,2022-08-10,1295,22.1
222,2022-08-11,1201,23.9
223,2022-08-12,1251,20.4
224,2022-08-13,1386,22.5
225,2022-08-14,1157,22.5
226,2022-08-15,1142,21.6
227,2022-08-16,1248,21.8
228,2022-08-17,1192,21.8
229,2022-08-18,1250,22.4
230,2022-08-19,1227,24.6
231,2022-08-20,1214,22.4
232,2022-08-21,1130,22.6
233,2022-08-22,893,22.600000000000005
234,2022-08-23,1248,22.8
235,2022-08-24,1279,24.3
236,2022-08-25,1160,22.7
237,2022-08-26,1097,22.3
238,2022-08-27,1225,21.1
239,2022-08-28,1079,24.8
240,2022-08-29,1060,24.6
241,2022-08-30,1190,23.2
242,2022-08-31,1329,22.4
243,2022-09-01,1197,25.2
244,2022-09-02,1187,25.7
245,2022-09-03,1115,25.1
246,2022-09-04,999,21.2
247,2022-09-05,937,20.1
248,2022-09-06,448,21.4
249,2022-09-07,1141,21.8
250,2022-09-08,1407,22.4
251,2022-09-09,1359,23.0
252,2022-09-10,1351,23.3
253,2022-09-11,694,20.6
254,2022-09-12,1156,14.799999999999999
255,2022-09-13,1274,18.8
256,2022-09-14,1375,19.8
257,2022-09-15,1356,20.6
258,2022-09-16,1369,22.7
259,2022-09-17,1371,24.2
260,2022-09-18,1193,25.2
261,2022-09-19,1065,22.6
262,2022-09-20,1358,22.1
263,2022-09-21,1373,25.4
264,2022-09-22,1067,15.899999999999999
265,2022-09-23,1178,13.2
266,2022-09-24,1170,15.3
267,2022-09-25,827,16.3
268,2022-09-26,1106,13.7
269,2022-09-27,1214,11.8
270,2022-09-28,1265,11.2
271,2022-09-29,1226,11.5
272,2022-09-30,1104,13.2
273,2022-10-01,619,14.5
274,2022-10-02,492,14.7
275,2022-10-03,504,13.6
276,2022-10-04,512,14.1
277,2022-10-05,686,16.2
278,2022-10-06,1253,17.9
279,2022-10-07,1318,10.4
280,2022-10-08,1011,7.9
281,2022-10-09,1005,11.7
282,2022-10-10,1002,14.9
283,2022-10-11,1087,14.3
284,2022-10-12,1247,15.5
285,2022-10-13,719,9.3
286,2022-10-14,1128,7.7
287,2022-10-15,1191,6.6
288,2022-10-16,1053,8.8
289,2022-10-17,914,5.1
290,2022-10-18,1031,4.4
291,2022-10-19,958,5.3
292,2022-10-20,1052,6.1
293,2022-10-21,1102,12.9
294,2022-10-22,1172,19.4
295,2022-10-23,689,20.8
296,2022-10-24,700,21.2
297,2022-10-25,1024,17.7
298,2022-10-26,1142,9.0
299,2022-10-27,1155,7.5
300,2022-10-28,1082,10.4
301,2022-10-29,1105,10.4
302,2022-10-30,1025,11.4
303,2022-10-31,990,12.8
304,2022-11-01,1084,12.9
305,2022-11-02,1198,13.4
306,2022-11-03,1222,16.7
307,2022-11-04,1257,18.1
308,2022-11-05,1260,16.7
309,2022-11-06,983,10.3
310,2022-11-07,1111,9.2
311,2022-11-08,938,8.8
312,2022-11-09,1025,12.9
313,2022-11-10,1123,19.6
314,2022-11-11,593,10.9
315,2022-11-12,1196,1.1
316,2022-11-13,711,0.7
317,2022-11-14,766,0.4
318,2022-11-15,625,2.1
319,2022-11-16,832,1.3000000000000003
320,2022-11-17,814,-0.2
321,2022-11-18,794,-2.3
322,2022-11-19,613,-5.2
323,2022-11-20,463,-5.9
324,2022-11-21,618,1.9000000000000001
325,2022-11-22,764,3.2
326,2022-11-23,769,6.4
327,2022-11-24,400,7.5
328,2022-11-25,428,6.4
329,2022-11-26,620,6.3
330,2022-11-27,325,6.9
331,2022-11-28,768,3.1
332,2022-11-29,772,7.9
333,2022-11-30,604,0.6
334,2022-12-01,727,-4.2
335,2022-12-02,761,4.6
336,2022-12-03,479,2.6
337,2022-12-04,641,-2.9
338,2022-12-05,773,1.7
339,2022-12-06,537,4.9
340,2022-12-07,801,4.1
341,2022-12-08,904,2.5
342,2022-12-09,777,2.6
343,2022-12-10,652,3.3999999999999995
344,2022-12-11,330,3.5
345,2022-12-12,633,3.6
346,2022-12-13,706,2.7
347,2022-12-14,709,4.1
348,2022-12-15,442,2.6
349,2022-12-16,276,-0.9
350,2022-12-17,585,-3.7
351,2022-12-18,470,-7.0
352,2022-12-19,555,-8.7
353,2022-12-20,611,-2.5
354,2022-12-21,591,-6.7
355,2022-12-22,416,-2.2
356,2022-12-23,267,-19.9
357,2022-12-24,146,-15.8
358,2022-12-25,81,-13.4
359,2022-12-26,187,-8.4
360,2022-12-27,366,-9.6
361,2022-12-28,437,-0.3
362,2022-12-29,506,9.2
363,2022-12-30,630,8.7
364,2022-12-31,324,0.09999999999999999
